Subject,Class Type,Room No.
Data Structures,theory,Room-201
Data Structures,lab,Computer-Lab-2
Data Structures,tutorial,Room-201
Digital Electronics,theory,Room-202
Digital Electronics,lab,Electronics-Lab-1
Discrete Mathematics,theory,Room-203
Discrete Mathematics,tutorial,Room-203
Computer Organization,theory,Room-204
Computer Organization,lab,Hardware-Lab-1
Object Oriented Programming,theory,Room-205
Object Oriented Programming,lab,Computer-Lab-3
Database Management Systems,theory,Room-206
Database Management Systems,lab,Computer-Lab-4
