Subject,Class Type,Room No.
Calculus,theory,LH-101
Calculus,tutorial,TR-101
Physics,theory,LH-102
Physics,lab,Physics Lab-1
Elements of Biology,theory,LH-103
Elements of Biology,tutorial,TR-102
Computational Thinking for Problem Solving,theory,LH-104
Computational Thinking for Problem Solving,lab,Computer Lab-1
Engineering Graphics and Design,theory,LH-105
Engineering Graphics and Design,lab,Drawing Hall-1
Essential Electronics Practices,lab,Electronics Lab-1
Engineering Ethics,theory,LH-106
Indian Knowledge System,theory,LH-107
Environmental Studies,theory,LH-108
